business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,gpt4mini_analysis,created_at
# JUAN HANDYMAN LLC,JUANHJH803PM,CONSTRUCTION CONTRACTOR,21313 W. Sunwest Ave.,,Medical Lake,WA,99022,(509) 847-9082,"ROMERO-ORTEGA, JUAN",,Handyman,"Juan Handyman LLC is a licensed handyman service based in Medical Lake, WA, providing general repair and maintenance services.","{""General Repairs"",""Home Maintenance"",""Minor Renovations""}",0.90,,,,completed,approved_download,2025-07-23 03:11:07.118015,,,2025-07-22 23:37:37.197793
#1 AQUA MATTERS,1AQUAAM831PC,CONSTRUCTION CONTRACTOR,8825 34TH AVE NE #L413,,MARYSVILLE,WA,98271,(206) 931-2595,"DOHERTY, JOHN BRIEN III",,Plumbing,"#1 Aqua Matters specializes in backflow testing and irrigation services in Marysville, WA.","{""Backflow testing"",""Irrigation services""}",0.90,,,,completed,approved_download,2025-07-23 03:10:55.007637,,,2025-07-22 23:37:37.197793
#1 PRO POWER WASHING SERVICES,1PROPPP783NT,CONSTRUCTION CONTRACTOR,75 VINE ST,APT 506,SEATTLE,WA,98121,(435) 260-9855,"TODD, TYREL HUGH",,Handyman,"1 Pro Power Washing Services offers professional pressure washing services in Seattle, WA, focusing on residential and commercial properties.","{""Pressure Washing"",""Roof Cleaning"",""Gutter Cleaning"",""Window Cleaning"",""Driveway/Concrete Cleaning"",""Commercial Pressure Washing""}",0.90,,,,completed,approved_download,2025-07-23 03:12:18.014088,,,2025-07-22 23:37:37.197793
#1 SIDING LLC,1SIDISL833Q2,CONSTRUCTION CONTRACTOR,5600 MT SOLO RD,UNIT 144,LONGVIEW,WA,98632,(360) 721-4342,"REYES-GASTELUM, FAVIAN",,Siding,"#1 SIDING LLC specializes in siding installation and repair services in Longview, WA.","{""Siding installation"",""Siding repair"",""Siding replacement""}",0.90,,,,completed,approved_download,2025-07-23 02:35:15.007724,,,2025-07-22 23:37:37.197793
$100 OVER COST PAINTING CO LLC,100OVOC791LN,CONSTRUCTION CONTRACTOR,1604 E Rich Ave,,SPOKANE,WA,99207,(509) 598-9842,"Campbell, Travis Alan",,Painting,"100 OVER COST PAINTING CO LLC specializes in providing high-quality painting services in Spokane, WA.","{""Interior Painting"",""Exterior Painting"",""Commercial Painting"",""Residential Painting""}",0.90,,,,completed,approved_download,2025-07-23 02:35:15.009413,,,2025-07-22 23:37:37.197793
+SUN TREE SERVICE LLC,SUNTRTS782Q1,CONSTRUCTION CONTRACTOR,11011 Park Ave S,Apt C110,Parkland,WA,98444,(253) 468-0554,"ARIAS MARTINEZ, ANGELICA MARIA",,Landscaping,"+Sun Tree Service LLC offers a variety of tree services including removals, trimming, and stump grinding, with a focus on providing free estimates.","{""Tree Removals"",Trimming/Pruning,""Stump Grinding""}",0.90,,,,completed,approved_download,2025-07-23 03:16:09.276022,,,2025-07-22 23:37:37.197793
1 CROWN FLOORING LLC,1CROWCF847OG,CONSTRUCTION CONTRACTOR,5017 Mariner St.,,Gig Harbor,WA,98332,(253) 301-7276,"EVANS, DUSTIN FARREL",,Flooring,"1 Crown Flooring, LLC specializes in flooring services including tile and carpet installation and replacement.","{""Tile Installation"",""Tile Replacement"",""Carpet Installation""}",0.90,,,,completed,approved_download,2025-07-23 03:16:21.872611,,,2025-07-22 23:37:37.197793
1 HANDY MAN SRVC/DSGN LLC,1HANDHM807DF,CONSTRUCTION CONTRACTOR,3009 184TH PL NE,,ARLINGTON,WA,98223,(425) 314-4393,"HERNANDEZ, ANGELA MARIE",,Handyman,"1 Handy Man Services And Designs is a local business in Arlington, WA that offers a range of handyman services and design solutions for residential customers.","{""General Repairs"",""Home Maintenance"",""Design Solutions""}",0.90,,,,completed,approved_download,2025-07-23 03:16:44.204562,,,2025-07-22 23:37:37.197793
1 RV PAINTING & RMDLNG LLC,1RVPARP772OE,CONSTRUCTION CONTRACTOR,660 SW 132ND ST,,BURIEN,WA,98146,(206) 602-0148,"PABLO SARMIENTO, ALEJANDRO",,Painting,"R V Painting & Remodeling, LLC is a contractor based in Burien, WA, specializing in expert painting services.","{""Interior Painting"",""Exterior Painting"",Remodeling}",0.90,,,,completed,approved_download,2025-07-23 03:16:48.566651,,,2025-07-22 23:37:37.197793
1 SON MASONRY LLC,1SONMSM811O6,CONSTRUCTION CONTRACTOR,122 Debra LN,,ONALASKA,WA,98570,(360) 880-4370,"Stockton, Steven Allen",,Concrete,"SON MASONRY LLC is a masonry contractor based in Onalaska, WA, specializing in concrete and masonry work.","{""Masonry construction"",""Concrete work"",Bricklaying,Stonework}",0.90,,,,completed,approved_download,2025-07-23 03:17:09.676664,,,2025-07-22 23:37:37.197793
1 STRUCTURE LLC,1STRUSL792OM,CONSTRUCTION CONTRACTOR,212 NE 83RD ST,,VANCOUVER,WA,98665,(360) 694-2552,"DUUS, JASON GABRIEL",https://1structure.com/,Commercial Contractors,"1 Structure is an experienced commercial contractor, licensed in Oregon and Washington, focusing on large-scale projects such as hotels, retail, and educational facilities.","{""Commercial construction"",""Project management"",""General contracting""}",0.90,,,,completed,approved_download,2025-07-23 03:16:58.827732,,,2025-07-22 23:37:37.197793
1 STUMP AT A TIME,1STUMS*784B5,CONSTRUCTION CONTRACTOR,14918 39th Ave NW,"Stanwood, Wa.",Stanwood,WA,98292,(206) 354-9491,"ALLINGTON, BILL",,Landscaping,"1 STUMP AT A TIME specializes in stump removal services in Stanwood, WA.","{""Stump Removal"",""Tree Services""}",0.90,,,,completed,approved_download,2025-07-23 03:17:12.479527,,,2025-07-22 23:37:37.197793
1-800-BOARDUP,1800B**917L9,CONSTRUCTION CONTRACTOR,3701 W G St,,Bremerton,WA,98312,(206) 522-9570,"OMLI, DAVID MICHAEL",https://1-800boardup.com/store/seattle/,Handyman,"1-800-BOARDUP provides 24/7 emergency assistance and recovery services for fire, water, and storm damage to homeowners and businesses.","{""Board Up Services"",""Fire Damage Restoration"",""Water Extraction"",""Smoke Removal"",""Mold Remediation"",""Storm Damage Repair""}",0.90,,,,completed,approved_download,2025-07-23 03:17:39.772272,,,2025-07-22 23:37:37.197793
1-800-BOARDUP,1800B**929O9,CONSTRUCTION CONTRACTOR,1581 N NATIONAL AVE,,CHEHALIS,WA,98532,(360) 345-1095,"GODFREY, KEVIN KEITH",https://1-800boardup.com/locations/,Handyman,"1-800-BOARDUP provides 24/7 emergency assistance for fire, flood, and storm damage, offering services such as board up, smoke removal, and property reconstruction.","{""Board up"",""Smoke removal"",""Tree removal"",""Storm damage repair"",""Fire damage reconstruction"",""Flood and water drying"",""Extraction and cleanup"",""Roof repair"",""Vehicle impact repair"",""Building stabilization"",""Emergency power"",""Winterization and pipe burst cleanup"",""Contents cleaning"",""Mold removal and remediation"",""Biohazard cleanup""}",0.90,,,,completed,approved_download,2025-07-23 03:17:53.358644,,,2025-07-22 23:37:37.197793
1-800-BOARDUP OF CLARK COUNTY,1800BCC774M5,CONSTRUCTION CONTRACTOR,185 OAKLAND AVENUE,,BIRMINGHAM,MI,48009,(248) 594-1144,"JONES, CHRISTOPHER MICHAEL",https://1-800boardup.com/locations/,Handyman,"1-800-BOARDUP of Clark County provides emergency assistance for property damage, including fire, flood, and storm damage, with a commitment to help homeowners and businesses 24/7.","{""Board up"",""Smoke removal"",""Tree removal"",""Storm damage repair"",""Fire damage reconstruction"",""Flood and water drying"",""Extraction and cleanup"",""Roof repair"",""Vehicle impact repair"",""Building stabilization"",""Emergency power"",Winterization,""Pipe burst cleanup"",""Contents cleaning"",""Mold removal and remediation"",""Biohazard cleanup""}",0.90,,,,completed,approved_download,2025-07-23 03:17:53.361034,,,2025-07-22 23:37:37.197793
1-800-WATERDAMAGE,1800W**955OO,CONSTRUCTION CONTRACTOR,PO Box 822796,,Vancouver,WA,98682,(360) 737-9812,"CHIODO, PAMELA G",https://www.1800waterdamage.com/vancouver-portland/,Water Damage Restoration,1-800 WATER DAMAGE of Vancouver & Portland provides top-quality water damage restoration services with a focus on customer service.,"{""Water Damage Restoration"",""Mold Remediation"",""Fire Damage Restoration"",""Sewage Cleanup"",""Emergency Services""}",0.90,,,,completed,approved_download,2025-07-23 03:18:13.262065,,,2025-07-22 23:37:37.197793
1-UP CONTRACTING,1UPCOC*800QB,CONSTRUCTION CONTRACTOR,214 MCKENA LN SW,,TUMWATER,WA,98512,(360) 349-6099,"LOMSDALE, JOSHUA ADAM",,Insulation,"1-UP CONTRACTING specializes in insulation installation services, offering a 100% 1-year guarantee on their work and a 5-year yearly check-up on all jobs.","{""Insulation Installation""}",0.90,,,,completed,approved_download,2025-07-23 03:18:19.859879,,,2025-07-22 23:37:37.197793
10 STAR CONSTRUCTION LLC,10STASC845MA,CONSTRUCTION CONTRACTOR,18209 52ND AVE W #307,,LYNNWOOD,WA,98037,(425) 772-8264,"MIRAMONTES - RAMIREZ, CRISTOBA",https://10starconstruction.com/,Handyman,10 Star Construction is a construction service company focused on delivering high-quality projects with a customer-centric approach.,"{""New Construction"",Remodels,""Water Damage Repairs"",Restorations,""Project Management""}",0.90,,,,completed,approved_download,2025-07-23 04:53:53.65232,,,2025-07-22 23:37:37.197793
10 STAR PAINTING LLC,10STASP821DN,CONSTRUCTION CONTRACTOR,30132 36TH PL S,,AUBURN,WA,98001,(206) 914-6434,"LUNGU, SERGHEI",,Painting,"10 STAR PAINTING LLC is a licensed construction contractor based in Auburn, WA, specializing in painting services.","{""Interior Painting"",""Exterior Painting"",""Residential Painting"",""Commercial Painting""}",0.90,,,,completed,approved_download,2025-07-23 03:18:34.040731,,,2025-07-22 23:37:37.197793
100 Oaks Nrsy Lndscp/Grdn Srvs,100OAON875M5,CONSTRUCTION CONTRACTOR,5411 Camelot Dr. SW,,OLYMPIA,WA,98512,(360) 789-0873,"Hollingsworth, James Melford",,Landscaping,"100 Oaks Nursery Landscaping/Garden Services provides landscaping and gardening services in Olympia, WA.","{Landscaping,""Garden Services"",""Nursery Services""}",0.90,,,,completed,approved_download,2025-07-23 03:18:45.800411,,,2025-07-22 23:37:37.197793
100 PROOF DRYWALL LLC,100PRPD823OR,CONSTRUCTION CONTRACTOR,PO BOX 86,,SOUTHWORTH,WA,98386,(360) 317-3229,"LINDAL, JAMES WALLACE",https://www.100proofdrywall.com/,Drywall,"100 PROOF DRYWALL LLC specializes in high-quality drywall work for both residential and commercial projects, founded by James Lindal who has 24 years of experience in the industry.","{""Drywall Installation"",""Drywall Finishing"",""Texture Application""}",0.90,,,,completed,approved_download,2025-07-23 03:18:45.801996,,,2025-07-22 23:37:37.197793
100% PAINTING LLC,100PAPL797L3,CONSTRUCTION CONTRACTOR,PO BOX 356,,TENINO,WA,98589,(360) 878-4206,"JUSTUS, ROBERT CHARLES",,Painting,"100% PAINTING LLC is a contractor business based in Tenino, WA, specializing in painting services.","{""Interior Painting"",""Exterior Painting"",""Residential Painting""}",0.90,,,,completed,approved_download,2025-07-23 03:18:51.998728,,,2025-07-22 23:37:37.197793
101 GENERAL CONTRACTING LLC,101GEGC810PH,CONSTRUCTION CONTRACTOR,262 HEATHER CIRCLE,,Port Angeles,WA,98362,(360) 477-6460,"BARNETT, KIMBERLY MARIE",https://101generalcontracting.com/,Concrete,"101 General Contracting specializes in Manufactured Home Land/Home projects and building permit services in NW Washington, including Port Angeles and surrounding counties.","{Groundbreaking,""Land clearing"",""Tree removal"",""Septic installation"",""Concrete work"",""Utility installation"",Fencing,Wells,Irrigation,Garages}",0.90,,,,completed,approved_download,2025-07-23 03:18:54.849729,,,2025-07-22 23:37:37.197793
101 Pest Control LLC,101PEPC881MZ,CONSTRUCTION CONTRACTOR,P O BOX 548,,CARLSBORG,WA,98324,(360) 670-3085,"Mason, John R",,Pest Control,"101 Pest Control LLC provides pest control services in Carlsborg, WA.","{""Pest Control"",""Termite Control"",""Rodent Control""}",0.90,,,,completed,approved_download,2025-07-23 03:19:25.288598,,,2025-07-22 23:37:37.197793
101 ROOFING LANDSCAPING,101RORL804CD,CONSTRUCTION CONTRACTOR,15800 SCANDIA RD NW,TRLR #25,POULSBO,WA,98370,(360) 204-3502,"ACEVES GONZALEZ, JOSE DAVID",,Roofing,"101 Roofing Landscaping specializes in roofing and landscaping services in Poulsbo, WA.","{""Roof installation"",""Roof repair"",""Landscaping design"",""Landscape maintenance""}",0.90,,,,completed,approved_download,2025-07-23 03:19:25.288177,,,2025-07-22 23:37:37.197793
1040WINDOWREMODELING L L C,1040WLL806MG,CONSTRUCTION CONTRACTOR,9906 NE 39TH ST,,VANCOUVER,WA,98662,(971) 777-5107,"MARTINS, JONATHAS SILVA",,Windows & Doors,"1040WINDOWREMODELING LLC specializes in window remodeling services in Vancouver, WA.","{""Window installation"",""Window replacement"",""Window repair""}",0.90,,,,completed,approved_download,2025-07-23 03:19:25.285033,,,2025-07-22 23:37:37.197793
10TH CASTLE LLC,10THCCL851D7,CONSTRUCTION CONTRACTOR,4316 NW 121st Cir,,VANCOUVER,WA,98685,(503) 860-0598,"MARTINEZ, FRANCISCO GUADALUPE",https://www.10thcastle.com/,Kitchen & Bath,10TH CASTLE LLC provides high-quality residential construction and renovation services in the Portland and Vancouver area.,"{Renovations,Remodeling,Cabinetry,""Kitchen Services""}",0.90,,,,completed,approved_download,2025-07-23 03:19:40.929167,,,2025-07-22 23:37:37.197793
10X20 PERFORMANCE FBRCTN LLC,10X20PF785PO,CONSTRUCTION CONTRACTOR,502 E VINEYARD DR,Suite A,PASCO,WA,99301,(509) 619-2024,"BREIER, JORDAN MICHAEL",,Metal Fabrication,"10X20 Performance Fabrication, LLC specializes in metal fabrication services, particularly in the motorsport sector.","{""Metal Fabrication"",""Motorsport Fabrication""}",0.90,,,,completed,approved_download,2025-07-23 03:19:47.365762,,,2025-07-22 23:37:37.197793
112TH LLC,112THL*839R1,CONSTRUCTION CONTRACTOR,PO BOX 232,,NORTH LAKEWOOD,WA,98259,(360) 652-7745,"SHAFFER, DONALD JAMES",https://www.masterbrandcabinets.com/dealers/wa/lakewood/16694/,Kitchen & Bath,"112TH LLC is a construction contractor based in North Lakewood, WA, specializing in kitchen and bath cabinetry solutions.","{""Cabinet design"",""Cabinet installation"",""Kitchen remodeling"",""Bathroom remodeling""}",0.90,,,,completed,approved_download,2025-07-23 03:20:16.439422,,,2025-07-22 23:37:37.197793
12 FRAMERS LLC,12FRAFL796PN,CONSTRUCTION CONTRACTOR,3001 S 288TH ST TRLR 74,,FEDERAL WAY,WA,98003,(253) 285-8730,"ARGUETA MOREIRA, OLVIN N",https://www.thebluebook.com/iProView/1576322/puget-sound-framing-llc/subcontractors/,Framing,12 FRAMERS LLC specializes in wood framing installation for both commercial and residential projects.,"{""Wood Framing Installation"",""Light Gauge Framing Systems"",""Rough Carpentry"",""Tenant Improvements"",Remodels,""New Construction""}",0.90,,,,completed,approved_download,2025-07-23 03:20:40.227454,,,2025-07-22 23:37:37.197793
12 GENERAL CONSTRUCTION LLC,12GENGC815JA,CONSTRUCTION CONTRACTOR,124 192ND ST CT E,,Spanaway,WA,98387,(253) 391-1178,"Yu, Chunae",https://www.12generalconstructionllc.com/,Roofing,"12 General Construction, LLC is a leading construction company in Tacoma, Washington, specializing in painting, siding, remodel, roofing, fence, and deck services.","{Painting,Siding,Roofing,Fence,Deck}",0.90,,,,completed,approved_download,2025-07-23 03:20:48.453693,,,2025-07-22 23:37:37.197793
12 GENERAL HANDYMAN,12GENGH844L4,CONSTRUCTION CONTRACTOR,7816 OAKRIDGE DR SW,,LAKEWOOD,WA,98498,(253) 391-9545,"Yu, Kevin Chun",,Handyman,"12 GENERAL HANDYMAN offers a variety of handyman services in Lakewood, WA.","{""General Repairs"",""Home Maintenance"",""Minor Electrical Work"",""Minor Plumbing Work""}",0.90,,,,completed,approved_download,2025-07-23 03:20:50.626352,,,2025-07-22 23:37:37.197793
12 TILE,12TILT*852LA,CONSTRUCTION CONTRACTOR,12907 E gibson rd,F101,Everett,WA,98204,(206) 422-1359,"FARNSWORTH, ERICK ALAN",,Flooring,"12 TILE is a flooring contractor specializing in tile installation services in Everett, WA.","{""Tile Installation"",""Tile Repair"",""Flooring Consultation""}",0.90,,,,completed,approved_download,2025-07-23 03:20:58.37908,,,2025-07-22 23:37:37.197793
123 IRRIGATION LLC,123IRIL772JG,CONSTRUCTION CONTRACTOR,19204 3RD DR SE,,BOTHELL,WA,98012,(425) 548-0154,"CLINE, KELLY W",https://www.redfin.com/WA/Leavenworth/123-Jaybird-Ln-98826/home/75144668,Landscaping,"123 Irrigation LLC specializes in irrigation services, providing solutions for residential landscaping needs.","{""Irrigation installation"",""Irrigation repair"",""Landscape design""}",0.90,,,,completed,approved_download,2025-07-23 04:54:39.762432,,,2025-07-22 23:37:37.197793
12DECKS LLC,12DECL*781KK,CONSTRUCTION CONTRACTOR,23301 53RD AVE W,,MOUNTLAKE TERRACE,WA,98043,(206) 487-6747,"TAUBAYEV, MIRBEK",https://data.wa.gov/api/views/m8qx-ubtq/rows.csv?accessType=DOWNLOAD,Decking,"12DECKS LLC specializes in expert deck and fencing installation in the Greater Seattle Area, providing custom solutions for homeowners.","{""Deck Installation"",""Fencing Installation"",""Custom Deck Design""}",0.90,,,,completed,approved_download,2025-07-23 04:54:33.844693,,,2025-07-22 23:37:37.197793
12TH MAN ROOFING LLC,12THMMR846QC,CONSTRUCTION CONTRACTOR,22616 2nd Pl West,,BOTHELL,WA,98021,(425) 219-8488,"Miller, Norma Luz",https://www.lni.wa.gov/licensing-permits/other-licenses-permits/asbestos-certification,Roofing,"12TH MAN ROOFING LLC specializes in roofing services in Bothell, WA.","{""Roof installation"",""Roof repair"",""Roof maintenance""}",0.90,,,,completed,approved_download,2025-07-23 04:55:03.19385,,,2025-07-22 23:37:37.197793
12TH MAN TILING,12THMMT833JF,CONSTRUCTION CONTRACTOR,Po Box 293,,RAINIER,WA,98576,(360) 481-0247,"Adams, Adam P",https://www.monaco-seattle.com/,Flooring,12TH MAN TILING specializes in tiling services for various applications.,"{""Tile installation"",""Tile repair"",""Grout cleaning"",""Floor tiling"",""Wall tiling""}",0.90,,,,completed,approved_download,2025-07-23 04:54:53.690887,,,2025-07-22 23:37:37.197793
12th Can Painting,12THCCP862LB,CONSTRUCTION CONTRACTOR,29035 38th AVE S,,AUBURN,WA,98001,(253) 802-1969,"Kosonen, Drew Wilho",https://www.auburnwa.gov/city_hall/parks_arts_recreation/arts_and_entertainment/postmark_center_for_the_arts/postmark_center_events,Painting,"12th Can Painting is a contractor business specializing in painting services in Auburn, WA.","{""Interior Painting"",""Exterior Painting"",""Cabinet Painting"",""Residential Painting""}",0.90,,,,completed,approved_download,2025-07-23 04:54:42.659586,,,2025-07-22 23:37:37.197793
132ND CONSTRUCTS LLC,132NDCL804BG,CONSTRUCTION CONTRACTOR,18516 101st Ave NE,STE 4,Bothell,WA,98011,(206) 380-1099,"ROSMAN, GUY JEROME",https://132ndconstructs.com/about-us/,Kitchen & Bath,"132nd Constructs LLC is a general contracting company specializing in interior home remodeling, serving the Snohomish and King County areas in Washington.","{""Interior Home Remodeling"",""General Contracting""}",0.90,,,,completed,approved_download,2025-07-23 04:55:11.478311,,,2025-07-22 23:37:37.197793
1407-WLD STARLIGHT 13 LLC,1407WS1860N2,CONSTRUCTION CONTRACTOR,1010 MARKET STREET,,KIRKLAND,WA,98033,(425) 576-9390,WESTCOTT HOLDINGS INC,https://www.southwindfloors.com/,Flooring,We are a family of flooring craftspeople who provide the quality and integrity of flooring we’d like to have in our own homes.,"{""Residential Carpet"",""Carpet Tile"",""Waterproof Laminate"",""Engineered Hardwood"",""Flexible LVT/LVP"",WPC,SPC}",0.90,,,,completed,approved_download,2025-07-23 04:56:03.830421,,,2025-07-22 23:37:37.197793
168 KITCHEN & BATH CORP,168KIKB779N4,CONSTRUCTION CONTRACTOR,5133 S AVON ST,,SEATTLE,WA,98178,(206) 495-3376,"WU, ZHOUJUN",https://www.redfin.com/WA/Seattle/168-18th-Ave-98122/unit-A/home/8190308,Kitchen & Bath,"168 Kitchen & Bath Corp specializes in kitchen and bathroom remodeling services in Seattle, WA.","{""Kitchen Remodeling"",""Bathroom Remodeling"",""Cabinet Installation"",""Countertop Installation"",""Plumbing Services""}",0.90,,,,completed,approved_download,2025-07-23 04:57:00.711941,,,2025-07-22 23:37:37.197793
16D LLC,16DLLL*882JT,ELECTRICAL CONTRACTOR,PO BOX 804,,VASHON,WA,98070,(206) 354-0876,"DAVIS, DUKE",https://www.graysharbor.us/howdoi/small_works_projects_awarded.php,Electrical,"16D LLC is an electrical contractor based in Vashon, WA, specializing in fire alarm services.","{""Electrical contracting"",""Fire alarm services""}",0.90,,,,completed,approved_download,2025-07-23 04:57:06.067693,,,2025-07-22 23:37:37.197793
1794 EXCAVATING LLC,1794EEL782DT,CONSTRUCTION CONTRACTOR,1705 LOWELL AVE,,ENUMCLAW,WA,98022,(253) 255-1794,"GILTHVEDT, TIFFANY SUE",https://apps.ecology.wa.gov/paris/PermitsBySIC-NAICS.aspx?ctl00_ContentPlaceHolder1_RadGridPermitSearchResultsChangePage=194_50,Excavation,"1794 Excavating LLC is a demolition and excavation company located in Enumclaw, Washington, owned and operated by Trevor & Tiffany Gilthvedt.","{Excavation,Demolition}",0.90,,,,completed,approved_download,2025-07-23 04:57:27.76366,,,2025-07-22 23:37:37.197793
1800 ROOF PRO LLC,1800RRP830O1,CONSTRUCTION CONTRACTOR,PO BOX 641,,ARLINGTON,WA,98223,(360) 386-8846,"DONNELLY, BRIAN JEFREY",https://www.servpro.com/,Roofing,"1800 ROOF PRO LLC is a roofing contractor based in Arlington, WA, specializing in roofing services.","{""Roof installation"",""Roof repair"",""Roof maintenance""}",0.90,,,,completed,approved_download,2025-07-23 04:57:47.039545,,,2025-07-22 23:37:37.197793
1855SLABJACK,1855S**854DQ,CONSTRUCTION CONTRACTOR,720 BRIARWOOD TERRACE,,EAST WENATCHEE,WA,98802,(509) 888-4600,"SARGENT, JERALD PETER",https://slabjackgeotechnical.com/geotech/,Concrete,Slabjack Geotechnical offers comprehensive geotechnical services to ensure your property is safe and secure.,"{""Seawall and Bulkhead Repair"",Slabjacking,""Manhole Repair"",""Culvert and Large Pipe Repair"",""Trench Breaker"",""Pipe Coatings"",Patios,Porches,Pools,Driveways,Sidewalks,""Interior Floors"",""Garage Floors"",""Basement Floors"",""Void Filling""}",0.90,,,,completed,approved_download,2025-07-23 04:58:14.768117,,,2025-07-22 23:37:37.197793
1871 Woodworks,1871WW*842JQ,CONSTRUCTION CONTRACTOR,2001 E 16th Ave,,SPOKANE,WA,99203,(509) 991-0552,"Lozano, Matthew",https://apps.sd.gov/hc65bidletting/SupplierDefault.aspx,Handyman,"1871 Woodworks is a woodworking company based in Spokane, WA that specializes in creating custom wood furniture and home decor pieces.","{""Custom wood furniture"",""Home decor pieces""}",0.90,,,,completed,approved_download,2025-07-23 04:58:20.292709,,,2025-07-22 23:37:37.197793
1LOVE PAINTING LLC,1LOVEPL784KE,CONSTRUCTION CONTRACTOR,5105 NE 57TH AVE,,VANCOUVER,WA,98661,(360) 787-3725,"CHRISS, ANDREW BRYAN",https://nextdoor.com/pages/columbia-home-repair-vancouver-wa/,Painting,"1LOVE PAINTING LLC specializes in providing painting services in the Vancouver, WA area.","{""Interior Painting"",""Exterior Painting"",""Garage Painting""}",0.90,,,,completed,approved_download,2025-07-23 05:17:41.088299,,,2025-07-22 23:37:37.197793
1MANHANDYMAN LLC,1MANHL*783LA,CONSTRUCTION CONTRACTOR,408 S 15th Ave,,YAKIMA,WA,98902,(360) 244-3257,"Chase, Michael Lynn",https://data.wa.gov/api/views/m8qx-ubtq/rows.csv?accessType=DOWNLOAD&api_foundry=true,Handyman,"1MANHANDYMAN LLC is a handyman service based in Yakima, WA, providing general repair and maintenance services.","{""Home Repair"",""Maintenance Services"",""General Handyman Services""}",0.90,,,,completed,approved_download,2025-07-23 05:19:15.220984,,,2025-07-22 23:37:37.197793
1ONE CONSTRUCTION LLC,1ONECCL771KT,CONSTRUCTION CONTRACTOR,4732 20th Ave NE #402,,SEATTLE,WA,98105,(425) 478-8893,"MENDOZA FLORES, EDGAR",https://1oneconstruction.com,Remodeling,"1ONE CONSTRUCTION LLC is a family-owned business focused on delivering high-quality remodeling and construction services for both residential and commercial clients in Seattle, WA.","{""General Contracting"",Remodeling,Restoration,""Drywall Installation"",Painting,Flooring,""Cabinet Installation"",Insulation}",0.90,,,,completed,approved_download,2025-07-23 05:26:42.378625,,,2025-07-22 23:37:37.197793
1ST AIR MECHANICAL INC,1STAIAM851OP,ELECTRICAL CONTRACTOR,PO BOX 1539,,MEAD,WA,99021,(509) 218-2124,"DAVIS, TIM",https://1st.net,Electrical,"1ST AIR MECHANICAL INC is an electrical contractor based in Mead, WA, providing electrical services.",{},0.90,,,,completed,approved_download,2025-07-23 05:26:39.9257,,,2025-07-22 23:37:37.197793
1ST AMERICAN PLUMBING INC,1STAMAP771L3,PLUMBING CONTRACTOR,1407 S 34TH AVE,,YAKIMA,WA,98902,(509) 952-1734,"SLUDER, ZACHARY SHERMAN",https://1stamericanplumbing.com,Plumbing,"1st American Plumbing Inc offers quality plumbing, heating, and cooling services, focusing on residential needs in the Salt Lake Valley.","{""Emergency plumbing services"",""Water heater repair and installation"",""Tankless water heater services"",""Drain cleaning services"",""Water leak detection"",""Gas line repair"",""Heating installation and repair"",""Air conditioning installation and repair""}",0.90,,,,completed,approved_download,2025-07-23 05:26:56.165656,,,2025-07-22 23:37:37.197793
1ST AVE KITCHEN & BATH INC,1STAVAK917J9,CONSTRUCTION CONTRACTOR,2921 1ST AVE S,,SEATTLE,WA,98134,(206) 402-3582,"LI, YU MIN",https://1st.net,Kitchen & Bath,"1ST AVE KITCHEN & BATH INC specializes in kitchen and bathroom remodeling services in Seattle, WA.","{""Kitchen Remodeling"",""Bathroom Remodeling"",""Custom Cabinetry"",""Countertop Installation""}",0.90,,,,completed,approved_download,2025-07-23 05:27:03.723484,,,2025-07-22 23:37:37.197793
1ST CAST PAINTING & RENVTN LLC,1STCACP831LE,CONSTRUCTION CONTRACTOR,134 S VISTA WAY,,KELSO,WA,98626,(360) 931-3192,"LABROSSE, PAUL STEVEN",https://1st.net,Painting,1ST CAST PAINTING & RENVTN LLC specializes in painting services.,"{""Interior Painting"",""Exterior Painting"",""Renovation Services""}",0.90,,,,completed,approved_download,2025-07-23 05:27:19.414854,,,2025-07-22 23:37:37.197793
1ST CHOICE CUSTOM HOMES LLC,1STCHCC801RZ,CONSTRUCTION CONTRACTOR,PO BOX 63,,FALL CITY,WA,98024,(425) 941-3533,"MEEHAN, SHAUN PATRICK",https://1stchoicecustomhomes.com,Custom Homebuilder,"First Choice Custom Homes provides expert custom homebuilding and interior design in Greenville, SC and surrounding areas.","{""Custom Homebuilding"",""Interior Design"",""Site Selection"",""Plan Development""}",0.90,,,,completed,approved_download,2025-07-23 05:27:53.548257,,,2025-07-22 23:37:37.197793
1ST CHOICE PLUMBING/REPAIR LLC,1STCHCP793NE,PLUMBING CONTRACTOR,40 Stohler Rd,,SELAH,WA,98942,(509) 966-0385,"BENSCOTER, JOSHUA T",https://1stchoiceplumbingrepair.com,Plumbing,"1ST CHOICE PLUMBING/REPAIR LLC is a plumbing contractor based in Selah, WA, offering a range of plumbing services.","{""Water Heaters"",""Bathroom Plumbing"",""Kitchen Plumbing"",""Water Leak Detection"",""Camera Line Inspection"",""Commercial Plumbing""}",0.90,,,,completed,approved_download,2025-07-23 05:29:05.713968,,,2025-07-22 23:37:37.197793
